"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"","[S]","                Yahoo Philippines Search","Search/Navigation","31.071","0.014","100","100","","","","","","",""
"","[G]","                    Yahoo Philippines Web Search","Search/Navigation","30.318","0.014","100","100","","","","","","",""
"","[S]","                Yahoo7 Search","Search/Navigation","23.118","0.01","100","100","","","","","","",""
"","[G]","                    Yahoo7 Web Search","Search/Navigation","22.05","0.01","100","100","","","","","","",""
"","[S]","                Yahoo Singapore Search","Search/Navigation","19.794","0.009","100","100","","","","","","",""
"","[S]","                Yahoo Korea Search","Search/Navigation","13.902","0.006","100","100","","","","","","",""
"","[G]","                    Yahoo Korea Combo Search","Search/Navigation","13.744","0.006","100","100","","","","","","",""
"","[S]","                Yahoo Germany Search","Search/Navigation","12.919","0.006","100","100","","","","","","",""
"","[G]","                    Yahoo Germany Web Search","Search/Navigation","12.086","0.005","100","100","","","","","","",""
"","[S]","                Yahoo Argentina Search","Search/Navigation","8.969","0.004","100","100","","","","","","",""
"","[G]","                    Yahoo Argentina Web Search","Search/Navigation","8.969","0.004","100","100","","","","","","",""
"","[S]","                Yahoo Sweden Search","Search/Navigation","4.744","0.002","100","100","","","","","","",""
"","[G]","                    Yahoo Sweden Web Search","Search/Navigation","4.744","0.002","100","100","","","","","","",""
"","[S]","                Yahoo Brazil Search","Search/Navigation","4.308","0.002","100","100","","","","","","",""
"","[G]","                    Yahoo Brazil Web Search","Search/Navigation","4.308","0.002","100","100","","","","","","",""
"","[S]","                Yahoo Italy Search","Search/Navigation","4.085","0.002","100","100","","","","","","",""
"","[G]","                    Yahoo Italy Image Search","Search/Navigation","1.357","0.001","100","100","","","","","","",""
"","[S]","                YSEARCHBLOG.COM","Social Media, Social Media - Blogs","0.694","0","100","100","","","","","","",""
"","[C](U)","            Yahoo Answers","Directories/Resources, Directories/Resources - Reference","59148.5","26.349","100","100","100","5100.626","323.518","325.853","183720.124","1.761","3.106"
"","[S](U)","                Yahoo U.S. Answers","Directories/Resources, Directories/Resources - Reference","57948.532","25.815","100","100","100","4954.103","298.832","302.59","176622.632","1.692","3.048"
"","[S](U)","                Yahoo UK & Ireland Answers","Directories/Resources - Reference, Directories/Resources","1728.233","0.77","100","100","100","69.492","2.527","3.244","2359.033","1.071","1.365"
"","[S](U)","                Yahoo7 Answers","Directories/Resources - Reference, Directories/Resources","812.326","0.362","100","100","100","21.728","0.866","1.757","932.353","0.929","1.148"
"","[S](U)","                Yahoo Canada Answers","Directories/Resources - Reference, Directories/Resources","476.075","0.212","100","100","100","47.846","4.648","6.336","1528.25","3.041","3.21"
"","[S](U)","                Yahoo India Answers","Directories/Resources - Reference, Directories/Resources","435.786","0.194","100","100","100","17.769","0.602","0.701","532.633","1.131","1.222"
"","[S](U)","                Yahoo Mexico Answers","Directories/Resources, Directories/Resources - Reference","402.533","0.179","100","100","100","23.216","0.885","0.931","771.209","1.148","1.916"
"","[S](U)","                Yahoo Spain Answers","Directories/Resources - Reference, Directories/Resources","324.886","0.145","100","100","100","19.068","0.754","0.683","581.077","1.298","1.789"
"","[S](U)","                Yahoo Taiwan Knowledge","Directories/Resources - Reference, Directories/Resources","248.931","0.111","100","100","100","23.694","1.147","1.35","802.225","1.429","3.223"
"","[S](U)","                Yahoo Singapore Answers","Directories/Resources - Reference, Directories/Resources","188.017","0.084","100","100","100","9.409","0.457","0.338","276.884","1.652","1.473"
"","[S](U)","                Yahoo Philippines Answers","Directories/Resources - Reference, Directories/Resources","186.945","0.083","100","100","100","9.374","0.32","0.324","285.544","1.121","1.527"
"","[S](U)","                Yahoo Malaysia Answers","Directories/Resources - Reference, Directories/Resources","185.62","0.083","100","100","100","10.125","0.277","0.36","305.09","0.909","1.644"
"","[S]","                Yahoo Japan Answers","Directories/Resources, Directories/Resources - Reference","183.807","0.082","100","100","100","38.103","11.256","5.982","2488.421","4.523","13.538"
"","[S](U)","                Yahoo New Zealand Answers","Directories/Resources - Reference, Directories/Resources","135.343","0.06","100","100","100","12.132","0.381","0.389","364.785","1.045","2.695"
"","[S](U)","                Yahoo Argentina Answers","Directories/Resources - Reference, Directories/Resources","115.058","0.051","100","100","100","5.477","0.192","0.202","163.55","1.174","1.421"
"","[S]","                Yahoo Hong Kong Answers","Directories/Resources - Reference, Directories/Resources","59.229","0.026","100","100","","","","","","",""
