"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"","[G]","                    Syfy Movies","Entertainment, Entertainment - TV","16.712","0.007","100","100","","","","","","",""
"","[S](U)","                BLASTR.COM","Social Media - Blogs, Social Media","295.166","0.131","100","100","100","22.719","1.713","3.082","1011.255","1.694","3.426"
"","[S](u)","                DVICE.COM","Social Media, Social Media - Blogs","234.018","0.104","100","100","100","8.463","0.693","0.795","274.183","2.529","1.172"
"","[S]","                SYFYGAMES.COM","Games - Online Gaming, Games","84.615","0.038","100","100","100","4.134","0.153","1","203.111","0.755","2.4"
"","[S]","                DEFIANCE.COM","Entertainment, Entertainment - TV","67.9","0.03","100","100","100","3.306","0.157","0.295","120.973","1.299","1.782"
"","[C](u)","            USANETWORK.COM Sites","Entertainment - TV, Entertainment","748.458","0.333","100","100","100","33.845","3.533","4.576","1262.702","2.798","1.687"
"","[S](U)","                USA Network Series","Entertainment - TV, Entertainment","501.594","0.223","100","100","100","26.28","1.279","1.855","925.714","1.382","1.846"
"","[G](U)","                    White Collar","Entertainment, Entertainment - TV","146.296","0.065","100","100","100","12.591","0.344","0.597","420.081","0.819","2.871"
"","[G](U)","                    Psych","Entertainment, Entertainment - TV","59.429","0.026","100","100","100","2.138","0.157","0.192","78.188","2.004","1.316"
"","[G]","                    Covert Affairs","Entertainment - TV, Entertainment","42.5","0.019","100","100","","","","","","",""
"","[G]","                    Suits","Entertainment, Entertainment - TV","42.149","0.019","100","100","","","","","","",""
"","[G]","                    Burn Notice","Entertainment - TV, Entertainment","41.218","0.018","100","100","","","","","","",""
"","[G]","                    Modern Family Show","Entertainment - TV, Entertainment","24.586","0.011","100","100","","","","","","",""
"","[G]","                    Necessary Roughness","Entertainment, Entertainment - TV","14.838","0.007","100","100","","","","","","",""
"","[G]","                    Royal Pains","Entertainment - TV, Entertainment","10.281","0.005","100","100","","","","","","",""
"","[G]","                    Graceland","Entertainment - TV, Entertainment","7.011","0.003","100","100","","","","","","",""
"","[G]","                    Common Law","Entertainment, Entertainment - TV","1.57","0.001","100","100","","","","","","",""
"","[G]","                    Fairly Legal","Entertainment, Entertainment - TV","0.594","0","100","100","","","","","","",""
"","[S]","                USA Network Sports","Entertainment, Entertainment - TV","11.687","0.005","100","100","","","","","","",""
"","[G]","                    Westminster Kennel Club Dog Show on USANETWORK","Entertainment, Entertainment - TV","11.104","0.005","100","100","","","","","","",""
"","[SG]","                        WESTMINSTERKENNELCLUB.ORG","Entertainment - TV, Entertainment","10.371","0.005","100","100","","","","","","",""
"","[S]","                CHARACTERARCADE.COM","Games, Games - Online Gaming","4.71","0.002","100","100","","","","","","",""
"","[S]","                CHARACTERSUNITE.COM","Social Media, Social Media - Social Networking","3.525","0.002","100","100","","","","","","",""
"","[C]","            NBCU Theme Parks","Entertainment","703.636","0.313","100","100","100","32.93","4.327","5.406","1031.516","4.195","1.466"
"","[S]","                UNIVERSALORLANDO.COM","Entertainment","517.69","0.231","100","100","100","23.807","3.708","4.442","751.439","4.935","1.452"
"","[S]","                UNIVERSALSTUDIOSHOLLYWOOD.COM","Entertainment, Entertainment - Movies","246.001","0.11","100","100","100","9.556","0.619","0.964","293.073","2.111","1.191"
"","[C](U)","            ACCESSHOLLYWOOD.COM","Entertainment, Entertainment - News","689.042","0.307","100","100","100","33.541","1.645","2.941","1139.989","1.443","1.654"
"","[C](u)","            Oxygen.com Sites","Entertainment - TV, Entertainment","687.506","0.306","100","100","100","42.149","5.025","6.872","1472.551","3.413","2.142"
"","[S](U)","                OXYGEN.COM","Entertainment - TV, Entertainment","473.209","0.211","100","100","100","34.57","3.684","4.649","1249.77","2.948","2.641"
"","[G](u)","                    Bad Girls Club","Entertainment - TV, Entertainment","213.754","0.095","100","100","100","17.483","0.915","1.579","579.968","1.577","2.713"
"","[S](u)","                QUIZFARM.COM","Entertainment","238.298","0.106","100","100","100","9.318","1.332","2.211","311.399","4.277","1.307"
"","[S]","                OXYGENLIVE.COM","Services - Discussion/Chat, Services","2.971","0.001","100","100","","","","","","",""
"","[C](U)","            DailyCandy","Lifestyles - Beauty/Fashion/Style, Lifestyles","620.157","0.276","100","100","100","107.54","5.219","6.344","3401.109","1.534","5.484"
"","[S](U)","                DAILYCANDY.COM","Lifestyles - Beauty/Fashion/Style, Lifestyles","620.153","0.276","100","100","100","107.54","5.219","6.344","3401.108","1.534","5.484"
"","[C](U)","            G4TV Gaming","Games, Games - Gaming Information","314.615","0.14","100","100","100","12.901","0.745","0.745","419.367","1.776","1.333"
"","[S](U)","                G4TV.COM*","Entertainment, Entertainment - TV","314.615","0.14","100","100","100","12.901","0.745","0.745","419.367","1.776","1.333"
"","[C]","            NBCU Filmed Entertainment","Entertainment - Movies, Entertainment","269.588","0.12","100","100","100","10.434","0.889","1.316","341.705","2.603","1.268"
"","[S]","                Focus Features","Entertainment, Entertainment - Movies","141.588","0.063","100","100","100","5.609","0.208","0.354","181.685","1.143","1.283"
"","[G]","                    FOCUSFEATURES.COM","Entertainment - Movies, Entertainment","137.702","0.061","100","100","100","5.232","0.187","0.326","163.273","1.146","1.186"
"","[S]","                UNIVERSALSTUDIOS.COM","Entertainment, Entertainment - Movies","128.035","0.057","100","100","100","4.825","0.682","0.963","160.02","4.26","1.25"
"","[C](u)","            Televisionwithoutpity.com Sites","Entertainment - TV, Entertainment","245.022","0.109","100","100","100","26.63","6.279","5.3","988.796","6.35","4.036"
"","[S](u)","                TELEVISIONWITHOUTPITY.COM","Entertainment - TV, Entertainment","245.022","0.109","100","100","100","26.63","6.279","5.3","988.796","6.35","4.036"
"","[G]","                    Television Without Pity Forums","Entertainment - TV, Entertainment","68.729","0.031","100","100","100","8.27","2.736","2.225","398.613","6.863","5.8"
"","[M](u)","        Xfinity","Entertainment","24165.447","10.765","100","100","100","4426.331","1779.502","1834.524","307237.02","5.792","12.714"
"","[C](U)","            XFINITY.COM","Portals","19436.173","8.658","100","100","100","3476.895","1393.651","1256.33","229076.126","6.084","11.786"
"","[S](U)","                Xfinity.com Sign In","Portals","15447.231","6.881","100","100","100","1713.196","70.913","132.506","69537.994","1.02","4.502"
"","[S](U)","                Xfinity.com Home Page","ISP","15216.355","6.778","100","100","100","3415.771","354.915","386.564","224028.314","1.584","14.723"
"","[S](u)","                Xfinity.com WebMail","Services, Services - e-mail","7120.665","3.172","100","100","100","1695.573","797.063","593.343","96763.141","8.237","13.589"
"","[S](U)","                Xfinity.com Video","Entertainment, Entertainment - Multimedia","3331.168","1.484","100","100","100","372.544","7.895","21.928","12819.094","0.616","3.848"
"","[S](U)","                Xfinity.com News","News/Information","3127.838","1.393","100","100","100","448.097","31.016","52.97","15673.047","1.979","5.011"
"","[S](U)","                Xfinity.com Entertainment","Entertainment","1973.065","0.879","100","100","100","262.712","19.222","51.124","9190.957","2.091","4.658"
"","[S](U)","                Xfinity.com Sports","Sports","1163.853","0.518","100","100","100","162.803","9.103","15.018","5420.692","1.679","4.658"
"","[S]","                Xfinity.com Personal Web Pages","Services - Web Hosting, Services","555.976","0.248","100","100","100","22.131","1.013","1.275","707.215","1.433","1.272"
"","[S]","                Xfinity.com Games","Games - Online Gaming, Games","83.651","0.037","100","100","100","9.437","0.18","1.009","512.047","0.351","6.121"
"","[S]","                Xfinity.com Finance","Business/Finance - News/Research, Business/Finance","64.574","0.029","100","100","","","","","","",""
"","[C](U)","            XfinityTV","Entertainment, Entertainment - TV","5558.903","2.476","100","100","100","616.991","102.612","98.773","27617.082","3.716","4.968"
"","[S](U)","                XFINITYTV.COM","Entertainment - TV, Entertainment","5558.903","2.476","100","100","100","616.991","102.612","98.773","27617.082","3.716","4.968"
"","[M]","        Comcast.com Sites","ISP","8881.173","3.956","100","100","100","536.324","65.108","115.037","17994.609","3.618","2.026"
"","[C]","            COMCAST.COM","ISP","8827.541","3.932","100","100","100","531.124","62.771","112.499","17743.098","3.538","2.01"
"","[C]","            COMCASTSUPPORT.COM","Corporate Presence","490.561","0.219","100","100","100","22.443","2.217","1.945","768.149","2.886","1.566"
"","[C]","            COMCASTONLINE.COM","ISP","22.446","0.01","100","100","","","","","","",""
"","[M](U)","        CNBC","Business/Finance, Business/Finance - News/Research","8404.002","3.744","100","100","100","1107.344","329.493","183.069","46462.048","7.092","5.529"
"","[C](U)","            CNBC.COM","Business/Finance - News/Research, Business/Finance","8211.338","3.658","100","100","100","1074.847","328.303","181.595","45437.742","7.225","5.534"
"","[C](U)","            MORTGAGENEWSDAILY.COM","Business/Finance - News/Research, Business/Finance","214.812","0.096","100","100","100","20.528","0.726","1.16","664.972","1.091","3.096"
"","[C]","            OILPRICE.COM","Business/Finance - News/Research, Business/Finance","47.097","0.021","100","100","","","","","","",""
"","[M](U)","        Telemundo Digital Network","Entertainment","1368.769","0.61","100","100","100","77.852","10.086","7.44","2800.523","3.601","2.046"
"","[C](U)","            TELEMUNDO.COM","Entertainment","1110.432","0.495","100","100","100","57.324","6.539","4.926","1964.837","3.328","1.769"
"","[C]","            Telemundo Local","Entertainment","218.615","0.097","100","100","100","18.007","1.683","1.62","663.774","2.536","3.036"
"","[S]","                TELEMUNDO51.COM","Entertainment - TV, Entertainment","82.285","0.037","100","100","100","11.904","1.174","1.225","477.215","2.46","5.8"
"","[S]","                TELEMUNDO47.COM","Entertainment, Entertainment - TV","52.368","0.023","100","100","","","","","","",""
"","[S]","                TELEMUNDO52.COM","Entertainment","41.26","0.018","100","100","","","","","","",""
"","[C](U)","            MUN2.TV","Entertainment","98.116","0.044","100","100","100","5.69","1.741","0.847","265.58","6.555","2.707"
"","[M](U)","        NBCLATINO.COM","Entertainment","388.862","0.173","100","100","100","27.378","1.054","0.891","934.652","1.127","2.404"
"","[M]","        WHDH.COM","Entertainment - TV, Entertainment","232.472","0.104","100","100","100","22.702","1.234","1.54","959.563","1.286","4.128"
"","[M]","        NBCUNI.COM","Entertainment","149.165","0.066","100","100","100","9.777","0.413","0.749","313.144","1.319","2.099"
"","[M]","        WICKEDTHEMUSICAL.COM","Entertainment","135.502","0.06","100","100","100","5.038","0.291","0.665","181.749","1.601","1.341"
"","[M]","        NBCUNIVERSALSTORE.COM","Retail","113.896","0.051","100","100","100","4.255","0.362","0.612","133.005","2.723","1.168"
"","[M]","        COMCAST-SPECTACOR.COM","Corporate Presence","76.209","0.034","100","100","100","2.771","0.035","0.097","83.118","0.416","1.091"
"","[M]","        Plaxo, Inc.","Social Media, Social Media - Social Networking","71.728","0.032","100","100","","","","","","",""
"","[C]","            PLAXO.COM","Social Media - Social Networking, Social Media","71.728","0.032","100","100","","","","","","",""
"","[M]","        IONTELEVISION.COM","Entertainment - TV, Entertainment","65.333","0.029","100","100","100","3.172","0.359","0.882","99.611","3.609","1.525"
"","[M]","        HALLOWEENHORRORNIGHTS.COM","Entertainment","53.387","0.024","100","100","100","1.985","0.167","0.226","59.926","2.791","1.122"
"","[M]","        NBCUNICAREERS.COM","Career Services and Development","44.134","0.02","100","100","","","","","","",""
"","[M]","        NBCUMV.COM","Corporate Presence","40.134","0.018","100","100","","","","","","",""
"","[M]","        CHILLERTV.COM","Entertainment","39.649","0.018","100","100","100","1.412","0.086","0.071","42.37","2.028","1.069"
"","[M]","        YOUPET.COM","Lifestyles, Lifestyles - Pets","27.358","0.012","100","100","","","","","","",""
"","[M]","        MAURYSHOW.COM","Entertainment, Entertainment - TV","24.841","0.011","100","100","","","","","","",""
"","[M]","        STEVEWILKOS.COM","Entertainment, Entertainment - TV","23.497","0.01","100","100","","","","","","",""
"","[M]","        WTVA.COM","Entertainment","23.453","0.01","100","100","","","","","","",""
"","[M]","        WETNWILDORLANDO.COM","Corporate Presence","21.737","0.01","100","100","","","","","","",""
"","[M]","        JERRYSPRINGERTV.COM","Entertainment - TV, Entertainment","20.618","0.009","100","100","","","","","","",""
"","[M]","        CITYWALKHOLLYWOOD.COM","Entertainment","20.203","0.009","100","100","","","","","","",""
"","[M]","        THEFASTANDTHEFURIOUS.COM","Entertainment - Movies, Entertainment","16.042","0.007","100","100","","","","","","",""
"","[M]","        SHOPNBC.COM","Retail, Retail - Mall","11.046","0.005","100","100","","","","","","",""
"","[M]","        WETNWILD.COM","Corporate Presence","0.962","0","100","100","","","","","","",""
"15","[P](U)","    About","News/Information","58043.725","25.857","100","100","100","4055.709","209.475","271.415","129981.746","1.612","2.239"
"","[M](U)","        About.com Lifestyle Network","Lifestyles","18430.885","8.21","100","100","100","988.549","53.922","68.95","31439.012","1.715","1.706"
"","[C](U)","            About.com Food","Lifestyles - Food, Lifestyles","11656.908","5.193","100","100","100","633.91","30.016","34.657","20034.399","1.498","1.719"
"","[C](U)","            About.com Home","Lifestyles, Lifestyles - Home","3588.669","1.599","100","100","100","180.809","10.058","11.216","5716.75","1.759","1.593"
"","[C](U)","            About.com Hobbies and Games","Lifestyles","2475.867","1.103","100","100","100","131.869","8.197","11.405","4277.221","1.916","1.728"
"","[C](U)","            About.com Style","Lifestyles - Beauty/Fashion/Style, Lifestyles","1752.276","0.781","100","100","100","68.374","3.528","8.726","2109.005","1.673","1.204"
"","[C](U)","            About.com People And Relationships","Lifestyles","1108.776","0.494","100","100","100","37.612","2.123","2.946","1327.857","1.599","1.198"
"","[M](U)","        About.com Education","Education - Information, Education","12523.002","5.579","100","100","100","701.215","36.817","39.675","22512.511","1.635","1.798"
"","[M](U)","        About.com Technology","Technology, Technology - News","9423.279","4.198","100","100","100","441.702","20.477","23.112","13868.939","1.476","1.472"
"","[C](U)","            About.com Computing","Technology, Technology - News","7202.833","3.209","100","100","100","336.919","15.449","17.865","10639.064","1.452","1.477"
"","[C](U)","            About.com Electronics","Technology - News, Technology","2580.386","1.149","100","100","100","107.146","4.926","5.247","3297.054","1.494","1.278"
"","[M](U)","        About.com Health","Health, Health - Information","8441.356","3.76","100","100","100","414.215","23.756","34.117","12987.333","1.829","1.539"
"","[C](U)","            Calorie Count","Health - Information, Health","1718.787","0.766","100","100","100","115.434","6.77","12.263","3540.304","1.912","2.06"
"","[M](U)","        About.com Business & Finance","Business/Finance, Business/Finance - News/Research","5461.828","2.433","100","100","100","252.558","11.886","12.797","7904.163","1.504","1.447"
"","[M](U)","        About.com Jobs & Careers","Career Services and Development, Career Services and Development - Career Resources","4582.736","2.041","100","100","100","329.269","15.9","18.793","10039.003","1.584","2.191"
"","[M](U)","        About.com Travel","Travel, Travel - Information","2736.279","1.219","100","100","100","99.214","5.719","9.264","3120.049","1.833","1.14"
"","[M](U)","        About.com Religion","Lifestyles, Lifestyles - Religion/Spirituality","2578.466","1.149","100","100","100","107.83","6.437","5.843","3395.928","1.895","1.317"
"","[M](U)","        About.com Cities & Towns","Regional/Local","2336.911","1.041","100","100","100","120.876","4.413","6.455","3674.572","1.201","1.572"
"","[M](U)","        About.com News & Issues","News/Information - General News, News/Information","2135.993","0.952","100","100","100","63.944","3.864","4.827","2649.324","1.458","1.24"
"","[M](U)","        About.com Parenting","Family & Youth - Family & Parenting, Family & Youth","1949.638","0.869","100","100","100","91.346","4.109","5.355","2824.583","1.455","1.449"
"","[M](U)","        About.com Entertainment","Entertainment - News, Entertainment","1733.518","0.772","100","100","100","93.304","4.024","6.033","2841.221","1.416","1.639"
"","[M](U)","        CONSUMERSEARCH.COM","Retail, Retail - Comparison Shopping","1571.376","0.7","100","100","100","61.936","4.235","4.64","1961.545","2.159","1.248"
"","[M](U)","        About.com Sports","Sports","1064.255","0.474","100","100","100","48.769","2.342","3.179","1478.075","1.585","1.389"
"","[M](U)","        About.com Autos","Automotive - Resources, Automotive","647.737","0.289","100","100","100","30.279","1.383","1.925","915.052","1.511","1.413"
"","[M](U)","        NETPLACES.COM","Retail - Books, Retail","316.809","0.141","100","100","100","11.405","0.892","0.916","377.141","2.364","1.19"
"","[M](U)","        About.com Industry","Business/Finance","303.424","0.135","100","100","100","13.969","0.406","0.53","432.694","0.938","1.426"
"","[M](U)","        About En Espanol","Lifestyles","168.209","0.075","100","100","100","9.824","0.52","0.397","298.665","1.74","1.776"
"","[M]","        ALLEXPERTS.COM","Directories/Resources, Directories/Resources - Reference","117.006","0.052","100","100","","","","","","",""
"16","[P](u)","    Gannett Sites","News/Information","57030.824","25.406","100","100","100","5930.039","1055.679","1140.031","231550.633","4.559","4.06"
"","[M](u)","        USATODAY Sites","News/Information - General News, News/Information","41623.188","18.542","100","100","100","3648.814","741.526","756.963","145064.497","5.112","3.485"
"","[C](u)","            USATODAY Sports Media Group","Sports","25763.773","11.477","100","100","100","2243.523","465.697","511.765","93291.406","4.992","3.621"
"","[S](u)","                USA TODAY Sports Digital Properties","Sports","17118.918","7.626","100","100","100","1404.121","338.662","382.21","59857.708","5.658","3.497"
"","[G](U)","                    RANTSPORTS.COM","Sports","5984.081","2.666","100","100","100","359.637","7.353","18.352","11116.88","0.661","1.858"
"","[G](U)","                    MLBTRADERUMORS.COM","Sports","1058.793","0.472","100","100","100","166.053","15.967","11.062","6417.988","2.488","6.062"
"","[G]","                    VIVIDSEATS.COM","Retail - Tickets, Retail","1012.296","0.451","100","100","100","45.126","3.614","5.276","1499.893","2.41","1.482"
"","[G](U)","                    BASEBALL-REFERENCE.COM","Sports","987.866","0.44","100","100","100","76.095","15.482","10.529","2635.824","5.874","2.668"
"","[G](U)","                    SPORCLE.COM","Sports","932.074","0.415","100","100","100","57.148","40.274","43.277","2424.792","16.609","2.602"
"","[G]","                    TICKETLIQUIDATOR.COM","Retail, Retail - Tickets","847.978","0.378","100","100","100","35.944","1.673","2.994","1107.138","1.511","1.306"
"","[G]","                    LOCKERDOME.COM","Sports","840.788","0.375","100","100","100","73.071","3.574","6.325","2538.543","1.408","3.019"
"","[G](U)","                    FBSCHEDULES.COM","Sports","813.839","0.363","100","100","100","56.521","2.927","2.599","1734.86","1.687","2.132"
"","[G](U)","                    PRO-FOOTBALL-REFERENCE.COM","Sports","638.709","0.285","100","100","100","39.005","3.506","5.669","1241.425","2.824","1.944"
"","[G]","                    BALLERARCADE.COM","Games, Games - Online Gaming","604.623","0.269","100","100","100","35.212","8.976","15.597","1196.934","7.499","1.98"
"","[G]","                    TVOVERMIND.COM","Entertainment - TV, Entertainment","431.753","0.192","100","100","100","15.949","1.743","4.976","506.885","3.438","1.174"
"","[G](U)","                    BASKETBALL-REFERENCE.COM","Sports","409.084","0.182","100","100","100","35.98","4.746","3.908","1220.753","3.888","2.984"
"","[G](U)","                    INKEDMAG.COM","Lifestyles","379.744","0.169","100","100","100","46.583","2.653","2.504","1542.068","1.72","4.061"
"","[G](U)","                    SATURDAYDOWNSOUTH.COM","Sports","365.197","0.163","100","100","100","30.177","1.449","1.61","1017.158","1.424","2.785"
"","[G](U)","                    MYFANTASYLEAGUE.COM","Sports","356.719","0.159","100","100","100","142.382","86.108","111.986","7317.183","11.768","20.512"
"","[G]","                    FREEGAMESINC.COM","Games","309.418","0.138","100","100","100","13.41","4.62","6.423","458.654","10.072","1.482"
"","[G]","                    GAME1GAMES.COM","Games","302.102","0.135","100","100","100","13.675","2.364","2.62","478.962","4.937","1.585"
"","[G](U)","                    UNOFFICIALNETWORKS.COM","News/Information, News/Information - General News","297.301","0.132","100","100","100","24.122","1.259","1.012","738.895","1.704","2.485"
"","[G]","                    FLIGHTCLUB.COM","Retail, Retail - Apparel","284.929","0.127","100","100","100","15.388","2.007","4.836","554.1","3.622","1.945"
"","[G](u)","                    RTSPORTS.COM","Sports","277.601","0.124","100","100","100","91.6","76.525","56.256","4815.676","15.891","17.347"
"","[G](U)","                    FFTOOLBOX.COM","Sports","277.056","0.123","100","100","100","29.511","2.764","5.331","1052.26","2.626","3.798"
"","[G](U)","                    FANTASYSHARKS.COM","Sports","240.108","0.107","100","100","100","35.834","2.557","4.219","1259.242","2.03","5.244"
"","[G](U)","                    SPORTS-REFERENCE.COM","Sports","216.288","0.096","100","100","100","18.87","0.754","1.688","583.896","1.292","2.7"
"","[G](U)","                    SPORTSLOGOS.NET","Promotional Servers","206.665","0.092","100","100","100","10.049","1.553","2.613","346.481","4.481","1.677"
"","[G](U)","                    IMPACTWRESTLING.COM","Entertainment","187.993","0.084","100","100","100","14.888","0.895","1.222","493.564","1.814","2.625"
"","[G](U)","                    FOOTBALLOUTSIDERS.COM","Sports","170.672","0.076","100","100","100","16.534","0.357","0.909","497.517","0.717","2.915"
"","[G]","                    THRASHERMAGAZINE.COM","Sports","170.238","0.076","100","100","100","19.447","1.872","2.072","721.976","2.593","4.241"
"","[G](U)","                    SPORTSCHATPLACE.COM","Sports","169.116","0.075","100","100","100","14.009","0.843","1.035","423.736","1.988","2.506"
"","[G]","                    NBADRAFT.NET","Sports","147.58","0.066","100","100","100","9.483","1.501","1.636","316.062","4.749","2.142"
"","[G](U)","                    FLIGHTCLUBNY.COM","Retail, Retail - Apparel","147.529","0.066","100","100","100","11.475","0.616","0.488","376.167","1.638","2.55"
"","[G](U)","                    TATTOOJOHNNY.COM","Retail","147.455","0.066","100","100","100","8.624","0.945","1.987","267.17","3.537","1.812"
"","[G](U)","                    INSIDEHOOPS.COM","Sports","125.008","0.056","100","100","100","7.322","1.226","2.126","360.344","3.402","2.883"
"","[G]","                    HOCKEY-REFERENCE.COM","Sports","123.492","0.055","100","100","","","","","","",""
"","[G]","                    TALK-SPORTS.NET","Sports","117.894","0.053","100","100","100","7.44","0.105","0.216","461.799","0.227","3.917"
"","[G](U)","                    SNEAKHYPE.COM","Lifestyles","114.376","0.051","100","100","100","6.282","0.466","0.825","210.108","2.217","1.837"
"","[G](U)","                    COLLEGEFOOTBALLPOLL.COM","Sports","108.43","0.048","100","100","100","9.471","0.571","0.439","298.355","1.913","2.752"
"","[G](U)","                    KENTUCKYSPORTSRADIO.COM","Sports","107.983","0.048","100","100","100","37.943","4.819","3.076","2335.658","2.063","21.63"
"","[G]","                    FFTODAY.COM","Sports","88.124","0.039","100","100","100","6.373","0.753","1.003","229.681","3.28","2.606"
"","[G]","                    FOOTYROOM.COM","Sports","84.465","0.038","100","100","100","10.683","2.597","2.552","424.154","6.123","5.022"
"","[G](u)","                    FOOTBALLSFUTURE.COM","Sports","83.718","0.037","100","100","100","23.566","2.442","2.726","788.858","3.096","9.423"
"","[G](u)","                    COACHT.COM","Sports","77.853","0.035","100","100","100","30.809","1.265","2.591","1052.184","1.203","13.515"
"","[G]","                    TIGERNET.COM","Sports","62.605","0.028","100","100","","","","","","",""
"","[G]","                    HOOKIT.COM","Lifestyles","56.308","0.025","100","100","100","4.484","0.741","1.426","175.756","4.215","3.121"
"","[G]","                    DRAFTCOUNTDOWN.COM","Sports","50.317","0.022","100","100","","","","","","",""
"","[G]","                    WERD.COM","Corporate Presence","45.76","0.02","100","100","","","","","","",""
"","[G]","                    SICEMDAWGS.COM","Sports","45.552","0.02","100","100","","","","","","",""
"","[G]","                    49ERSWEBZONE.COM","Sports","38.087","0.017","100","100","","","","","","",""
"","[G]","                    N-SB.ORG","Social Media, Social Media - Blogs","26.883","0.012","100","100","","","","","","",""
"","[G]","                    UNI-WATCH.COM","Sports","21.232","0.009","100","100","","","","","","",""
"","[G]","                    SWELLINFO.COM","Sports","17.647","0.008","100","100","","","","","","",""
"","[G]","                    FLIGHTCLUBLA.COM","Retail - Apparel, Retail","15.55","0.007","100","100","100","1.077","0.043","0.044","33.111","1.308","2.129"
"","[G]","                    VOLNATION.COM","Sports","12.444","0.006","100","100","","","","","","",""
"","[G]","                    OURLADS.COM","XXX Adult","4.571","0.002","100","100","","","","","","",""
"","[S](U)","                USATODAY Sports","Sports","8128.873","3.621","100","100","100","559.905","86.753","73.865","20911.788","4.149","2.573"
"","[G](u)","                    For The Win","Sports","2730.422","1.216","100","100","100","138.832","12.277","17.285","4504.858","2.725","1.65"
"","[G](U)","                    THEBIGLEAD.COM","Sports","881.429","0.393","100","100","100","47.568","2.012","3.115","1459.689","1.378","1.656"
"","[G](u)","                    MMAJUNKIE.COM","Sports","420.137","0.187","100","100","100","37.829","3.75","5.075","1822.845","2.057","4.339"
"","[G](U)","                    KFFL.COM","Sports","408.615","0.182","100","100","100","22.031","1.371","2.176","677.79","2.023","1.659"
"","[G]","                    SPORTSONEARTH.COM","Sports","338.274","0.151","100","100","100","13.802","0.712","0.536","414.255","1.719","1.225"
"","[G](U)","                    HOOPSHYPE.COM","Sports","256.756","0.114","100","100","100","35.243","1.843","2.786","1285.335","1.434","5.006"
"","[G](U)","                    HOOPSWORLD.COM","Sports","178.791","0.08","100","100","100","11.309","0.559","0.68","377.085","1.482","2.109"
"","[G]","                    THEHUDDLE.COM","Sports","87.925","0.039","100","100","","","","","","",""
"","[G]","                    BNQT.COM","Sports","54.146","0.024","100","100","","","","","","",""
"","[G]","                    ADMETER.USATODAY.COM","Sports","10.863","0.005","100","100","","","","","","",""
"","[S](U)","                USA Today Sports Local Media Group","Sports","3187.989","1.42","100","100","100","386.574","22.552","27.204","14254.945","1.582","4.471"
"","[G](U)","                    Detroit Free Press Sports","Sports","699.639","0.312","100","100","100","113.901","8.098","8.943","4704.962","1.721","6.725"
"","[G](U)","                    AZCentral Sports","Sports","338.475","0.151","100","100","100","37.949","2.241","2.12","1160.62","1.931","3.429"
"","[G](U)","                    IndyStar Sports","Sports","250.292","0.111","100","100","100","51.831","1.983","2.991","1592.644","1.245","6.363"
"","[G]","                    Courier-Journal Sports","Sports","147.875","0.066","100","100","","","","","","",""
"","[G]","                    9News Sports","Sports","92.028","0.041","100","100","","","","","","",""
"","[G]","                    Green Bay Press Gazette Sports","Sports","53.18","0.024","100","100","","","","","","",""
"","[G]","                    Democrat And Chronicle Sports","Sports","48.426","0.022","100","100","","","","","","",""
"","[G]","                    Clarion Ledger Sports","Sports","38.857","0.017","100","100","","","","","","",""
"","[G]","                    The Tennessean Sports","Sports","38.655","0.017","100","100","100","1.578","0.045","0.095","47.812","0.95","1.237"
"","[G]","                    Des Moines Register Sports","Sports","29.235","0.013","100","100","","","","","","",""
"","[G]","                    My Desert Sports","Sports","11.488","0.005","100","100","","","","","","",""
"","[S](u)","                USA Today High School Sports","Sports","1170.665","0.521","100","100","100","73.27","5.842","13.333","2289.19","2.552","1.955"
"","[G](u)","                    USATODAYHSS.COM","Sports","881.819","0.393","100","100","100","51.664","1.974","4.285","1632.668","1.209","1.851"
"","[G](u)","                    SCHEDULESTAR.COM","Sports","217.227","0.097","100","100","100","8.707","0.697","2.63","274.099","2.543","1.262"
"","[G](U)","                    IMLEAGUES.COM","Sports","215.845","0.096","100","100","100","19.873","3.171","6.373","642.903","4.933","2.979"
"","[G]","                    PLAYSPORTSTV.COM","Sports","22.123","0.01","100","100","","","","","","",""
"","[S](U)","                USA TODAY UFC Media Group","Sports","1146.849","0.511","100","100","100","83.086","7.622","10.977","3104.272","2.455","2.707"
"","[G](U)","                    UFC.COM","Sports","1146.848","0.511","100","100","100","83.086","7.622","10.977","3104.271","2.455","2.707"
"","[S]","                NATIONALCHAMPS.NET","Sports","57.418","0.026","100","100","","","","","","",""
"","[S]","                PROFOOTBALLFOCUS.COM","Sports","55.12","0.025","100","100","100","2.352","0.073","0.197","71.107","1.032","1.29"
"","[S]","                STATSHEET.COM","Sports","47.634","0.021","100","100","","","","","","",""
"","[S]","                CROSSINGBROAD.COM","Social Media, Social Media - Blogs","40.021","0.018","100","100","","","","","","",""
"","[S]","                GATORCOUNTRY.COM","Sports","16.572","0.007","100","100","","","","","","",""
"","[C](U)","            USATODAY News","News/Information, News/Information - General News","8968.894","3.995","100","100","100","637.132","47.132","48.047","20611.819","2.287","2.298"
"","[C](U)","            USATODAY Life","Lifestyles","5587.682","2.489","100","100","100","479.106","33.187","34.388","15601.532","2.127","2.792"
